School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
College of Charleston,19,9,10,0.474,-4.96,-3.13,6.0,4.0,8.0,6.0,1.0,3.0,1341.0,1329.0,780.0,481.0,1066.0,0.451,158.0,422.0,0.374,221.0,311.0,0.711,156.0,623.0,201.0,100.0,53.0,197.0,324.0,64.7,106.3,0.292,0.396,0.552,49.4,41.8,7.9,8.4,0.525,14.0,24.7,0.207,NA,NA,NA
Colorado,32,23,9,0.719,18.88,9.57,14.0,6.0,11.0,1.0,6.0,6.0,2340.0,2042.0,1280.0,828.0,1815.0,0.456,246.0,661.0,0.372,438.0,535.0,0.819,312.0,1113.0,436.0,167.0,88.0,364.0,526.0,66.5,110.0,0.295,0.364,0.565,53.2,52.7,7.8,7.8,0.524,15.0,30.6,0.241,5.0,R32,EAST
Colorado State,28,20,8,0.714,8.06,1.06,14.0,4.0,10.0,1.0,6.0,4.0,2072.0,1871.0,1120.0,715.0,1536.0,0.465,235.0,666.0,0.353,407.0,514.0,0.792,212.0,965.0,408.0,164.0,75.0,378.0,465.0,69.5,106.5,0.335,0.434,0.582,50.6,57.1,8.4,8.1,0.542,17.5,24.1,0.265,NA,NA,NA
Columbia,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,23,15,8,0.652,15.77,8.59,11.0,6.0,7.0,3.0,6.0,3.0,1650.0,1485.0,925.0,602.0,1388.0,0.434,155.0,463.0,0.335,291.0,403.0,0.722,311.0,879.0,297.0,142.0,121.0,268.0,432.0,66.2,107.8,0.29,0.334,0.522,53.6,49.3,9.3,14.6,0.49,14.5,37.0,0.21,7.0,R64,EAST
Coppin State,22,9,13,0.409,-12.37,-6.06,8.0,4.0,5.0,3.0,4.0,9.0,1602.0,1741.0,880.0,529.0,1287.0,0.411,193.0,636.0,0.303,351.0,564.0,0.622,164.0,796.0,286.0,188.0,71.0,348.0,394.0,79.3,91.8,0.438,0.494,0.515,43.7,54.1,10.8,8.0,0.486,18.3,18.5,0.273,NA,NA,NA
Cornell,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,31,22,9,0.71,16.28,8.54,14.0,6.0,11.0,3.0,7.0,4.0,2355.0,2115.0,1250.0,878.0,1862.0,0.472,293.0,811.0,0.361,306.0,478.0,0.64,259.0,1108.0,485.0,216.0,103.0,341.0,476.0,69.6,108.3,0.257,0.436,0.564,49.4,55.2,9.9,9.0,0.55,14.0,24.3,0.164,5.0,S16,WEST
Dartmouth,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidson,22,13,9,0.591,9.02,3.4,7.0,4.0,7.0,4.0,4.0,2.0,1579.0,1411.0,885.0,573.0,1214.0,0.472,216.0,594.0,0.364,217.0,316.0,0.687,197.0,758.0,332.0,113.0,57.0,236.0,327.0,63.6,112.3,0.26,0.489,0.579,53.5,57.9,8.0,8.2,0.561,14.7,28.2,0.179,NA,NA,NA
